label,filename,duration_sec,num_strokes,x_mean,x_std,x_min,x_max,x_range,y_mean,y_std,y_min,y_max,y_range,z_mean,z_std,z_min,z_max,z_range
o,o_18.csv,0.8822236061096191,1,-61.520833333333336,136.2119521142633,-311,121,432,115.84375,99.96982038050781,-89,272,361,77.41666666666667,149.04250538644123,-110,391,501
o,o_19.csv,0.851233720779419,1,-155.43093922651934,134.09085615400087,-405,63,468,107.23204419889503,64.51658934567168,-74,242,316,-15.403314917127071,117.05837950002766,-244,128,372
o,o_2.csv,0.7876460552215576,1,-35.455128205128204,142.94958926246008,-281,154,435,140.39743589743588,76.46873107416285,-39,234,273,89.57692307692308,199.41589021557803,-238,407,645
o,o_20.csv,0.8661773204803467,1,-141.33918128654972,129.0294158774607,-362,56,418,101.15789473684211,59.56887940182234,-64,234,298,2.953216374269006,102.47678720600423,-215,140,355
o,o_21.csv,0.8886713981628418,1,-147.2528735632184,128.95818369527356,-368,13,381,110.35632183908046,58.456045838419925,-58,192,250,1.2183908045977012,111.9039044076344,-172,200,372
o,o_22.csv,0.8099098205566406,1,-26.327485380116958,121.58361104772385,-288,116,404,120.49707602339181,86.1952212588996,-36,296,332,103.73099415204679,144.59964253741094,-72,406,478
o,o_23.csv,0.8949120044708252,1,-48.10857142857143,121.2333869918294,-264,125,389,114.78285714285714,83.43941805910858,-58,246,304,83.98857142857143,131.5276723897648,-104,358,462
o,o_24.csv,0.8772995471954346,1,-49.21264367816092,109.42453604090927,-265,96,361,117.86781609195403,71.19443212991618,-44,246,290,101.33333333333333,124.30162519844603,-108,316,424
o,o_25.csv,0.8086438179016113,1,-36.011049723756905,139.34074896335864,-254,162,416,169.060773480663,94.88057790634944,-76,310,386,112.7182320441989,177.12639287987193,-156,394,550
o,o_3.csv,0.8086581230163574,1,-35.06976744186046,177.5378909032614,-337,228,565,174.0581395348837,102.60072553704946,-44,364,408,71.02325581395348,201.28211714922548,-264,442,706
o,o_4.csv,0.7199661731719971,1,-47.095541401273884,169.82161770212832,-401,164,565,187.3184713375796,81.45441057902522,-40,302,342,50.089171974522294,214.16496684338438,-264,468,732
o,o_5.csv,0.7562153339385986,1,-60.689655172413794,175.6277438394352,-358,241,599,214.18620689655174,114.24540996170484,20,420,400,57.39310344827586,179.7148318460127,-158,492,650
o,o_6.csv,0.759885311126709,1,-41.44311377245509,153.12710700946906,-318,153,471,177.52095808383234,84.8327083944299,-64,294,358,107.68862275449102,192.4159307644437,-158,480,638
o,o_7.csv,0.7986340522766113,1,-49.857988165680474,136.91826271530053,-314,188,502,153.94082840236686,75.65269202886589,-62,276,338,97.41420118343196,181.8470872201677,-162,442,604
o,o_8.csv,0.8011462688446045,1,-48.32544378698225,169.60593509016078,-305,192,497,162.1301775147929,92.89526668238867,-39,306,345,91.34319526627219,177.78562021157734,-156,462,618
o,o_9.csv,0.7623641490936279,1,-45.698113207547166,168.4697980188697,-291,228,519,185.32704402515722,99.64465325455033,-10,388,398,79.77358490566037,185.76792124489467,-204,394,598
p,p_1.csv,1.2773656845092773,1,-117.776,149.21493965708484,-476,254,730,43.344,103.03706230689684,-71,302,373,12.644,136.6441941951026,-284,254,538
p,p_10.csv,1.1762332916259766,1,-75.83794466403162,117.46763072768047,-291,148,439,47.63636363636363,98.41498920901277,-70,258,328,76.13438735177866,126.83111866582257,-158,316,474
p,p_11.csv,1.0537488460540771,1,-81.6056338028169,126.24726548952356,-304,137,441,41.49295774647887,97.58308601693139,-80,264,344,81.07511737089202,139.87957755711486,-138,335,473
p,p_12.csv,1.0136032104492188,1,-65.6980198019802,133.59001249661358,-357,116,473,48.37623762376238,112.62594731967717,-86,311,397,78.43564356435644,148.52179871441382,-172,380,552
p,p_13.csv,0.9100179672241211,1,-89.79381443298969,142.2042199401776,-402,104,506,52.78865979381443,94.55881562110453,-42,248,290,82.8917525773196,145.53540115251135,-137,356,493
p,p_14.csv,1.0748674869537354,1,-68.84955752212389,149.49700680698524,-369,183,552,42.47345132743363,113.70641222430812,-95,326,421,83.34070796460178,135.74215369977048,-127,295,422
p,p_15.csv,1.0973565578460693,1,-102.27876106194691,154.00677384890284,-435,148,583,46.5353982300885,97.4236160467188,-70,310,380,58.97345132743363,153.53076913053349,-238,394,632
p,p_16.csv,1.1011962890625,1,-83.7892561983471,151.60729807680715,-359,161,520,41.917355371900825,92.97151545012646,-62,259,321,37.02066115702479,137.75525378289308,-240,294,534
p,p_17.csv,1.0637753009796143,1,-9.360730593607306,98.19626719589144,-162,226,388,76.63470319634703,138.2657787710127,-100,425,525,82.99543378995433,198.74127983217105,-295,488,783
p,p_18.csv,1.0924177169799805,1,8.096638655462185,95.14884580409792,-166,247,413,52.483193277310924,134.0645576709789,-114,394,508,74.52100840336135,175.07461212280123,-195,424,619
p,p_19.csv,1.1011676788330078,1,-2.5210084033613445,86.47175571068102,-182,183,365,51.47899159663866,130.10144362279038,-106,364,470,86.06302521008404,167.55816490728347,-171,480,651
p,p_2.csv,1.172447919845581,1,-107.95867768595042,160.00225085005025,-427,282,709,55.243801652892564,132.44744696004656,-87,394,481,40.892561983471076,126.7279113412317,-172,318,490
p,p_20.csv,0.9647800922393799,1,-8.384976525821596,102.04328604107556,-191,262,453,45.72769953051643,102.12109456685202,-104,270,374,93.26760563380282,167.03897051906827,-142,492,634
p,p_21.csv,0.9573683738708496,1,-114.06132075471699,124.87062884066256,-383,81,464,28.495283018867923,80.50118468655276,-68,229,297,68.12735849056604,130.336741433093,-178,274,452
p,p_22.csv,1.0748991966247559,1,-71.9789029535865,135.57837333343596,-387,115,502,20.957805907172997,99.32679281763176,-112,294,406,72.79746835443038,125.70864010462225,-106,296,402
p,p_23.csv,1.091200828552246,1,-13.674418604651162,108.45222061174377,-196,209,405,39.78604651162791,122.21323784813545,-98,386,484,80.13023255813954,169.6210503364349,-227,500,727
p,p_24.csv,1.2560482025146484,1,-26.518939393939394,82.91339348164867,-211,141,352,39.666666666666664,145.57410492717634,-116,425,541,93.6590909090909,155.52070416103624,-238,470,708
p,p_25.csv,1.1662402153015137,1,-111.86938775510204,139.2411197452186,-420,217,637,28.79591836734694,74.93975164566947,-71,234,305,10.16734693877551,96.84172778757738,-170,190,360
p,p_3.csv,1.2434988021850586,1,-91.84274193548387,151.53205279422008,-403,277,680,57.61290322580645,123.5223076233843,-85,358,443,34.04838709677419,119.43065711841406,-174,244,418
p,p_4.csv,1.12361741065979,1,-87.96311475409836,133.4574833737235,-395,109,504,54.59016393442623,123.57675371700081,-94,410,504,71.65983606557377,144.24483025438744,-136,352,488
p,p_5.csv,1.1424732208251953,1,-83.36290322580645,126.3058004109395,-344,139,483,46.75806451612903,109.65919756597545,-97,328,425,70.62096774193549,130.02510456709183,-130,316,446
p,p_6.csv,1.007460594177246,1,-105.85436893203884,152.57157666226553,-389,77,466,54.25728155339806,95.7828174436942,-54,284,338,58.00485436893204,132.13690230942265,-144,266,410
p,p_7.csv,1.1386475563049316,1,-85.07692307692308,123.06051784854822,-354,172,526,37.58119658119658,103.23669535214489,-90,316,406,55.15811965811966,146.97746096766213,-178,408,586
p,p_8.csv,1.017453670501709,1,-42.02739726027397,124.708170086462,-270,164,434,43.305936073059364,100.91181776482574,-100,316,416,84.70319634703196,163.11716546285245,-200,498,698
p,p_9.csv,1.0974109172821045,1,-65.40277777777777,124.60277271791446,-273,158,431,55.449074074074076,120.05214835528795,-103,334,437,88.00462962962963,153.28719049276268,-182,436,618
q,q_1.csv,1.2810447216033936,2,-45.930348258706466,125.07072049196049,-261,186,447,131.73134328358208,73.43451138726645,-70,254,324,126.25373134328358,173.71053594559964,-114,494,608
q,q_10.csv,1.4624927043914795,2,-74.36065573770492,109.04765942424297,-298,104,402,143.84426229508196,60.08245644014179,-14,256,270,105.0327868852459,127.89289078439411,-110,314,424
q,q_11.csv,2.0610787868499756,2,-84.15695067264573,115.99913611682162,-289,116,405,160.06726457399103,82.08010784437968,-52,348,400,71.6457399103139,181.87852363018567,-232,358,590
q,q_12.csv,1.319824457168579,2,-72.20320855614973,103.0737359535069,-274,87,361,176.44385026737967,52.07253834423542,32,278,246,111.38502673796792,130.04259595933698,-128,316,444
